"","Oxoisocaproic_mean","Leu_mean","Isoleu_mean","Valine_mean","Isobutyric_mean","Oxoisovaleric_mean","OHbutyric_mean","Lactate_mean","Alanine_mean","Acetate_mean","Glycoprot_mean","Acetone_mean","Gluacid_mean","Pyruvate_mean","Pyroglu_mean","Gln_mean","Citrate_mean","Asn_mean","Creatinine_mean","Creatine_mean","Lysine_mean","Ornithine_mean","Choline_mean","Carnitine_mean","Betaine_mean","Glycine_mean","Threonine_mean","Glycerol_mean","Serine_mean","Proline_mean","BGlucose_mean","DGlucose_mean","Methys_mean","Tyrosine_mean","Phe_mean","Tryp_mean","Formate_mean"
"No.Obese_Female vs No.Obese_Male",0.0061334200919812,0.00670987333562961,0.200844805636695,0.0249115497192536,0.0781889561743678,0.00930484074626182,0.671130944960294,0.174855755767209,0.0885303290368331,0.00262426659004897,0.306875174024706,0.0219858612598694,0.157192364231637,0.78812215848186,0.0721544332635981,0.874089277075764,0.218781521794279,0.890222646569029,0.253186208718892,0.0665650138190833,0.0064320710613582,0.148271447033867,0.909102902589346,0.11180498318234,0.403634673244017,1,0.779986346132786,0.957967251805562,0.0506942619009782,0.184976568019553,0.0139425516866538,0.0310425167719715,0.00656522201131767,0.712464203251389,0.445784615150063,0.891236859313426,0.0265636982569032
"No.Obese_Female vs No.Obese_PCOS",0.0199869892313314,0.897868760471691,0.175693545000821,0.769107414863852,0.693339995816261,0.120136472477424,0.755101853805178,0.607446596348331,0.827079734760154,0.029331222860857,0.522078072511723,0.163633175261219,0.157192364231637,0.589025240840074,0.141194145187988,0.157192364231637,0.561547084049186,1,0.518543237674153,0.484651892829613,0.0892832666148386,0.368593188699651,0.909102902589346,0.0375666741722076,0.686498783284403,0.393306752085585,0.779986346132786,0.442371081132538,0.816639414940749,0.434171852886536,0.0494210310421887,0.585126171592505,0.334734781248546,0.382995930229,0.873218586405198,0.766547367830658,0.04325703898484
"No.Obese_Female vs Obese_Female",0.00986080748815053,1,0.89253095755663,0.23208183701924,0.0963698648902051,0.0158403626713649,0.994265571471039,0.91629779799785,0.574913838608052,0.00262426659004897,0.0103180183851084,0.00425247321839338,0.157192364231637,0.253643757003977,0.0215537122002905,0.692295251493248,0.332870572844289,0.591002148954792,0.0318951223824916,0.805911899087734,0.0064320710613582,0.0169016950090822,0.909102902589346,0.0055147651254015,0.117893297175054,0.703686217092619,0.832906899356357,0.0363776102143723,0.283406172004491,0.183674826959384,0.0150417667978194,0.0310425167719715,0.00656522201131767,0.382995930229,0.0896317410644875,0.402769431980844,0.0573379868520981
"No.Obese_Female vs Obese_Male",0.0061334200919812,0.0092231762418629,0.175693545000821,0.0249115497192536,0.302099733210118,0.00967031287465655,0.994265571471039,0.607446596348331,0.528925315008196,0.00262426659004897,0.0103180183851084,0.0145406314448107,0.506688328432333,0.253643757003977,0.0215537122002905,0.874089277075764,0.0318656016614914,0.0541322842380411,0.826438556794447,0.703932919133359,0.0064320710613582,0.0520253882521842,0.909102902589346,0.061506589356197,0.117893297175054,0.629891561350632,0.565299648078815,0.957967251805562,0.091837413479692,0.183674826959384,0.0454823362527551,0.0535643304913318,0.00753315196924495,0.382995930229,0.690668277285916,0.394276963467113,0.04325703898484
"No.Obese_Female vs Obese_PCOS",0.0061334200919812,1,0.175693545000821,0.0441104975220566,0.0402396323898417,0.00930484074626182,0.755101853805178,0.822213069867393,0.607117474334011,0.00262426659004897,0.916112958202223,0.00425247321839338,0.0561972135793815,0.171974774701927,0.0209317329496381,0.874089277075764,0.332870572844289,0.0541322842380411,0.473342226019604,0.805911899087734,0.0064320710613582,0.0169016950090822,0.909102902589346,0.0055147651254015,0.117893297175054,0.629891561350632,0.565299648078815,0.0365762796205383,0.0365936269126493,0.183674826959384,0.0139425516866538,0.0535643304913318,0.00745507514458245,0.712464203251389,0.0896317410644875,0.402769431980844,0.0401440030893836
"No.Obese_Male vs No.Obese_PCOS",0.0197706198130738,0.00670987333562961,0.026976470867109,0.0249115497192536,0.123813366693423,0.0597544940429917,0.502554619972157,0.210513590583012,0.0885303290368331,0.00262426659004897,0.50762129912336,0.00980791934323939,0.727657871621653,0.609550071290389,0.816153354758127,0.157192364231637,0.561547084049186,0.875370300552359,0.253186208718892,0.484651892829613,0.0139034234208862,0.779735234576881,0.909102902589346,0.232851795970349,0.441186526693727,0.360409417432271,0.779986346132786,0.41518347159441,0.0365936269126493,0.755037113933543,1,0.491344921922337,0.157820019722839,0.382995930229,0.445784615150063,1,0.529500914371721
"No.Obese_Male vs Obese_Female",0.0131398999373171,0.00961148403947243,0.194828646009866,0.0441104975220566,0.721382121064281,0.256307820351446,0.502554619972157,0.178064663555763,0.10156052513219,0.00262426659004897,0.522078072511723,0.00425247321839338,1,0.253643757003977,0.198542239627974,0.692295251493248,0.561547084049186,0.64481668500473,0.0278851033733075,0.0623367274127103,0.392196548222376,0.368593188699651,0.909102902589346,0.0055147651254015,0.313265113762878,0.777135859478777,0.779986346132786,0.0363776102143723,0.283406172004491,0.184976568019553,0.773945461875302,0.591726110155914,0.916051072281896,0.382995930229,0.874367061162892,0.741778488341357,0.0365762796205383
"No.Obese_Male vs Obese_Male",0.861201701848317,1,0.953774626168356,0.686498783284403,0.7279872563906,0.953524363088363,0.586986667995813,0.624954017916029,0.430701976892314,0.351511595618611,0.522078072511723,0.0870545343666142,0.469944913961795,0.449785491536226,0.0782501228951775,0.783881182477782,0.0335236325515487,0.091837413479692,0.253186208718892,0.268390627974335,0.815990473802941,0.368593188699651,0.923378340663347,0.164714814263425,0.117893297175054,0.606631474203875,0.779986346132786,0.957967251805562,0.816639414940749,0.509228764206327,0.773945461875302,0.839714868005872,0.643815710400814,0.382995930229,0.445784615150063,0.972540295195436,0.0265636982569032
"No.Obese_Male vs Obese_PCOS",0.0882123551720078,0.00670987333562961,0.89253095755663,0.121190970420874,0.123813366693423,0.333003639380664,0.502554619972157,0.245567362099463,0.0885303290368331,0.167842884789189,0.616953487129237,0.00483148271359997,1,0.253643757003977,0.0215537122002905,0.874089277075764,1,0.0541322842380411,0.283783470385884,0.0623367274127103,0.392196548222376,0.368593188699651,0.909102902589346,0.00596519723462385,0.173271310962109,0.606631474203875,0.565299648078815,0.0363776102143723,0.394691037504381,0.915989049194777,0.773945461875302,0.585126171592505,0.62166302139679,0.526180831175875,0.658861571081923,0.394276963467113,0.0164040193957044
"No.Obese_PCOS vs Obese_Female",0.733832653251055,1,0.194828646009866,0.220234847381475,0.0963698648902051,0.120136472477424,0.994265571471039,0.803543533113505,0.530517775977697,0.00262426659004897,0.0221705466167206,0.00425247321839338,0.90998407048825,0.449785491536226,0.411122521699105,0.309046351002654,0.48731927380133,0.591002148954792,0.283783470385884,0.484651892829613,0.0064320710613582,0.31638983315673,0.923378340663347,0.061506589356197,0.135782659596991,0.606631474203875,0.779986346132786,0.152818701155698,0.172370009286177,0.530517775977697,0.773945461875302,0.585126171592505,0.157820019722839,0.820293998697193,0.402069278560466,0.741778488341357,0.273674995978897
"No.Obese_PCOS vs Obese_Male",0.00634968480771175,0.00670987333562961,0.026976470867109,0.0249115497192536,0.503878053530031,0.0631774187484224,0.994265571471039,0.607446596348331,0.397363181357251,0.00321645574278114,0.0254460426464885,0.00980791934323939,0.506688328432333,0.650782073483797,0.141194145187988,0.157192364231637,0.035811917278731,0.0541322842380411,0.826438556794447,0.703932919133359,0.0399519575093029,0.309887039958943,0.909102902589346,0.748860182225451,0.117893297175054,0.360409417432271,0.59337984463482,0.41518347159441,0.091837413479692,0.755037113933543,0.773945461875302,0.585126171592505,0.334734781248546,0.782290627852914,0.602426477166402,0.920358554352107,0.304454821506595
"No.Obese_PCOS vs Obese_PCOS",0.182292100237792,0.897868760471691,0.026976470867109,0.0249115497192536,0.0562653691474471,0.0597544940429917,0.994265571471039,0.803543533113505,1,0.00262426659004897,0.826652843097092,0.00425247321839338,0.766547367830658,0.253643757003977,0.0423237218236219,0.157192364231637,0.561547084049186,0.0541322842380411,0.907786497909087,0.484651892829613,0.0110852733083603,0.309887039958943,0.909102902589346,0.061506589356197,0.117893297175054,0.360409417432271,0.565299648078815,0.518694698873571,0.0365936269126493,0.874797667960097,0.971826943718244,0.658805460030734,0.249082867711424,0.910276279162779,0.0896317410644875,0.279887253495753,0.273674995978897
"Obese_Female vs Obese_Male",0.0061334200919812,0.0121654954932755,0.200844805636695,0.0441104975220566,0.693339995816261,0.278836752538187,1,0.607446596348331,0.574913838608052,0.0214378202015411,0.787474627760109,0.600237171790071,0.367308751159951,0.650782073483797,0.368244825112559,0.692295251493248,0.48731927380133,0.890471688907272,0.209589818975516,0.484651892829613,0.137372909565125,0.779735234576881,0.909102902589346,0.0510290202825319,0.647806585032228,0.629891561350632,0.565299648078815,0.060559854578776,0.335883645670583,0.755037113933543,0.773945461875302,0.906700134428604,0.643815710400814,1,0.165957726211494,0.741778488341357,0.953566355960066
"Obese_Female vs Obese_PCOS",0.237580627767771,1,0.175693545000821,0.335084711243681,0.136738451121424,0.122305948083099,0.994265571471039,0.91629779799785,0.528925315008196,0.00321645574278114,0.316714032307459,0.163633175261219,1,0.67174935352359,0.056541543332562,0.874089277075764,0.805341063554112,0.936920622969779,0.283783470385884,1,0.815990473802941,1,0.958029327123412,0.720646947258768,0.617751066767008,0.606631474203875,0.779986346132786,0.442371081132538,0.172370009286177,0.184976568019553,0.773945461875302,0.84808181949433,0.370425942732916,1,0.402069278560466,0.134695076526607,0.529500914371721
"Obese_Male vs Obese_PCOS",0.030279927289388,0.00670987333562961,0.854118841565283,0.134297857421945,0.151660665012875,0.409743646108901,1,0.624954017916029,0.314645401668468,0.19083524167773,0.50762129912336,0.193798805991625,0.190807708862261,0.449785491536226,0.198542239627974,0.692295251493248,0.205804112574471,0.638095421958773,0.826438556794447,0.484651892829613,0.158057966654398,0.779735234576881,0.909102902589346,0.0639871555258605,1,1,0.192618935058293,0.120831636794145,0.394691037504381,0.530517775977697,0.773945461875302,0.839714868005872,0.643815710400814,1,0.0896317410644875,0.0382925311119592,0.480710007474706
