"","Female_vs_PCOS","Female_vs_Male","PCOS_vs_Male"
"Oxoisocaproic_mean",0.0180607382672541,2.02444693952845e-05,0.000616050564080588
"Leu_mean",0.795671550816284,4.03049029139843e-05,9.62766815687783e-06
"Isoleu_mean",0.842965105946963,0.0391945719604046,0.0391945719604046
"Valine_mean",0.370883706149805,0.000796183910783999,0.000958414016677995
"Oxoisovaleric_mean",0.0819858042044193,0.00373012162315112,0.441553127594091
"Lactate_mean",0.45176030315037,0.0240512731593586,0.0460767975327797
"Alanine_mean",0.276149136640941,0.0248581506074772,0.0109692602421181
"Creatinine_mean",0.76630351365159,0.0497820964619752,0.194417004310563
"Creatine_mean",0.488261244567321,0.0302249980366829,0.144130225819814
"Glycerol_mean",0.766372448477908,0.0986269291306201,0.0250430158272369
"Serine_mean",0.352104468232349,0.0287139390005677,0.352104468232349
"Formate_mean",0.078707753445232,0.0138400144932574,0.349989841070117
