"","No.Obese_Female_vs_Obese_Female","No.Obese_Male_vs_Obese_Male","No.Obese_PCOS_vs_Obese_PCOS"
"Oxoisocaproic_mean",0.0118329689857806,0.861201701848317,0.218750520285351
"Isoleu_mean",0.953774626168356,0.953774626168356,0.00738780632271514
"Valine_mean",0.278498204423088,0.640732197732109,0.0212324419511928
"Isobutyric_mean",0.0407941486393104,0.7279872563906,0.0225061476589788
"Oxoisovaleric_mean",0.0126722901370919,0.953524363088363,0.035476140355681
"Acetate_mean",0.00113591805512895,0.351511595618611,0.00192217321964825
"Glycoprot_mean",0.00276865913836354,0.572995023829272,0.771542653557286
"Acetone_mean",0.00212623660919669,0.0638399918688504,0.00212623660919669
"Pyroglu_mean",0.0152521831953794,0.041733398877428,0.021161860911811
"Citrate_mean",0.233009400991002,0.0134094530206195,0.486674139509295
"Asn_mean",0.315201146109222,0.0551024480878152,0.0380438527928251
"Creatinine_mean",0.0127580489529966,0.138689914719912,0.907786497909087
"Lysine_mean",0.0026730477227595,0.815990473802941,0.00665116398501617
"Ornithine_mean",0.00397886533169187,0.270301671713077,0.156856489596559
"Carnitine_mean",0.00276865913836354,0.13177185141074,0.0551024480878152
"Betaine_mean",0.0424727894375249,0.0424727894375249,0.0424727894375249
"Glycerol_mean",0.0185096979616325,0.953774626168356,0.622433638648285
"Serine_mean",0.283406172004491,0.816639414940749,0.0160617864091197
"BGlucose_mean",0.00902506007869162,0.624954017916029,0.907038480803695
"DGlucose_mean",0.0124170067087886,0.7270461240715,0.724686006033808
"Methys_mean",0.00262608880452707,0.600894663040759,0.174358007397997
"Phe_mean",0.035852696425795,0.297189743433375,0.035852696425795
"Formate_mean",0.0458703894816785,0.0159382189541419,0.182449997319264
