"","obesos_vs_no.obesos"
"Oxoisocaproic_mean",0.00922234365383841
"Isobutyric_mean",1.82261471511454e-06
"Oxoisovaleric_mean",1.95934576165462e-05
"Acetate_mean",4.47152605251003e-09
"Glycoprot_mean",8.70877066587054e-07
"Acetone_mean",8.51649844638209e-10
"Gluacid_mean",0.0128702734172258
"Pyruvate_mean",2.49063107208257e-05
"Pyroglu_mean",4.45387482001556e-05
"Gln_mean",0.0240218639618837
"Citrate_mean",0.00068747419238322
"Asn_mean",4.68570894398546e-07
"Creatinine_mean",0.0156112384750053
"Creatine_mean",0.0045275578539866
"Lysine_mean",1.7524505248623e-07
"Ornithine_mean",3.67659691342588e-06
"Choline_mean",0.000573176286305578
"Carnitine_mean",1.09310447828635e-11
"Betaine_mean",1.47740357603589e-07
"Glycine_mean",0.00420228337453754
"Glycerol_mean",1.78200321171304e-09
"Serine_mean",3.20410687510452e-06
"BGlucose_mean",0.00192367434038239
"DGlucose_mean",0.00420228337453754
"Methys_mean",0.000476405206744646
"Phe_mean",3.15238901725305e-05
"Tryp_mean",0.00861247610383065
"Abiotrophia",0.00286680936233253
"Actinomyces",0.0156112384750053
"Akkermansia",0.0498990795130863
"Anaerofilum",0.0286603067949519
"Asaccharobacter",0.00698924284394559
"Atopobium",0.00698924284394559
"Clostridium IV",0.0321546469274991
"Dialister",0.0200366238791552
"Dorea",0.0177057156622843
"Eisenbergiella",0.0188403483119141
"Escherichia/Shigella",0.0321546469274991
"Eubacterium",0.0128702734172258
"Granulicatella",0.00749763278982422
"Lactobacillus",0.040220612890555
"Leuconostoc",0.00606246273581631
"Peptococcus",0.040220612890555
"Pseudoflavonifractor",0.00524564215342461
"Saccharibacteria_genera_incertae_sedis",0.0286603067949519
"Staphylococcus",0.0200366238791552
"Streptophyta",0.00389789192133702
