"","No.Obese_Female_vs_Obese_Female","No.Obese_Male_vs_Obese_Male","No.Obese_PCOS_vs_Obese_PCOS"
"Oxoisocaproic_mean",0.000932400932400932,0.866511266511267,0.0307692307692308
"Isoleu_mean",0.573426573426573,0.612587412587413,0.041958041958042
"Valine_mean",0.0307692307692308,0.535819735819736,0.0307692307692308
"Isobutyric_mean",0.000466200466200466,0.866511266511267,0.000466200466200466
"Oxoisovaleric_mean",0.000466200466200466,0.778865578865579,0.000466200466200466
"Acetate_mean",0.000466200466200466,0.151981351981352,0.000466200466200466
"Glycoprot_mean",0.000466200466200466,0.280963480963481,0.000466200466200466
"Acetone_mean",0.000466200466200466,0.463403263403263,0.000466200466200466
"Gluacid_mean",0.000466200466200466,0.120590520590521,0.00885780885780886
"Pyruvate_mean",0.00186480186480186,0.0721056721056721,0.0601398601398601
"Pyroglu_mean",0.000932400932400932,0.396891996891997,0.020979020979021
"Citrate_mean",0.0221445221445221,0.189277389277389,0.0221445221445221
"Asn_mean",0.000466200466200466,0.0540792540792541,0.00326340326340326
"Lysine_mean",0.000466200466200466,0.280963480963481,0.000466200466200466
"Ornithine_mean",0.000466200466200466,0.535819735819736,0.000466200466200466
"Choline_mean",0.000932400932400932,0.535819735819736,0.00559440559440559
"Carnitine_mean",0.000466200466200466,0.00932400932400932,0.000466200466200466
"Betaine_mean",0.000466200466200466,0.280963480963481,0.000466200466200466
"Glycerol_mean",0.000466200466200466,0.0938616938616939,0.000466200466200466
"Serine_mean",0.000466200466200466,0.231857031857032,0.000466200466200466
"Proline_mean",0.013986013986014,0.955089355089355,0.955089355089355
"BGlucose_mean",0.00186480186480186,0.955089355089355,0.0601398601398601
"DGlucose_mean",0.000932400932400932,0.535819735819736,0.421445221445222
"Methys_mean",0.000932400932400932,0.866511266511267,0.00186480186480186
"Phe_mean",0.000466200466200466,0.612587412587413,0.00326340326340326
"Tryp_mean",0.157342657342657,0.463403263403263,0.041958041958042
"Formate_mean",0.00885780885780886,1,1
"Abiotrophia",0.328205128205128,0.328205128205128,0.041958041958042
"Akkermansia",0.959129759129759,0.959129759129759,0.027972027972028
"Asaccharobacter",0.278632478632479,0.041958041958042,0.180885780885781
"Atopobium",0.463403263403263,0.463403263403263,0.027972027972028
"Holdemania",0.573426573426573,0.866511266511267,0.041958041958042
"Hungatella",0.0442890442890443,0.503496503496504,1
"Prevotella",1,1,0.041958041958042
"Saccharibacteria_genera_incertae_sedis",0.720901320901321,0.720901320901321,0.041958041958042
