"","obesos_vs_no.obesos"
"Oxoisocaproic_mean",0.000330343591367387
"Leu_mean",1.9853880111015e-09
"Isoleu_mean",9.21778916059734e-06
"Valine_mean",1.35264328866581e-08
"Oxoisovaleric_mean",0.0281515004544225
"OHbutyric_mean",0.0482205498676083
"Lactate_mean",0.000171775395529067
"Alanine_mean",0.000451569620707148
"Gluacid_mean",0.00291835426031129
"Citrate_mean",0.00189211610426126
"Creatinine_mean",0.00820726337308366
"Choline_mean",0.0088403572932229
"Threonine_mean",0.00761401399780227
"Serine_mean",0.0281515004544225
"Proline_mean",0.000904424674628892
"DGlucose_mean",0.0338687254011703
"Methys_mean",0.00559870674043589
"Phe_mean",0.0178855527696793
"Tryp_mean",0.000675482493513951
"Formate_mean",0.000153438265877163
"Christensenella",0.0359772568418081
"Clostridium sensu stricto",0.00173066825553436
"Eisenbergiella",0.00761401399780227
"Holdemania",0.00951547558528414
"Hungatella",0.00406749328463469
"Romboutsia",0.000904424674628892
